102 290
0 1 3000000
0 2 3000000
0 3 3000000
0 4 3000000
0 5 3000000
0 6 3000000
0 7 3000000
0 8 3000000
0 9 3000000
0 10 3000000
1 11 81247
1 12 948726
1 20 79388
2 11 71011
2 12 143780
2 13 975148
3 12 850451
3 13 460048
3 14 441834
4 13 663217
4 14 274382
4 15 638042
5 14 146796
5 15 103301
5 16 474914
6 15 688836
6 16 110250
6 17 169985
7 16 934539
7 17 352413
7 18 997375
8 17 989106
8 18 651303
8 19 629253
9 18 428820
9 19 654642
9 20 948856
10 11 243128
10 19 208830
10 20 437571
11 21 33310
11 22 324374
11 30 795443
12 21 260521
12 22 104321
12 23 984506
13 22 235668
13 23 954771
13 24 444553
14 23 677501
14 24 617987
14 25 718934
15 24 315542
15 25 764782
15 26 338586
16 25 306807
16 26 969970
16 27 448836
17 26 993143
17 27 420860
17 28 317600
18 27 990517
18 28 409965
18 29 485255
19 28 619769
19 29 355136
19 30 139896
20 21 577466
20 29 84977
20 30 563966
21 31 875760
21 32 610776
21 40 328104
22 31 168830
22 32 136280
22 33 231448
23 32 669687
23 33 371947
23 34 186218
24 33 630591
24 34 565800
24 35 804205
25 34 865877
25 35 397693
25 36 85338
26 35 204462
26 36 704500
26 37 571659
27 36 169649
27 37 697642
27 38 992518
28 37 487249
28 38 204511
28 39 402483
29 38 972503
29 39 340631
29 40 757618
30 31 837935
30 39 628750
30 40 941959
31 41 786415
31 42 713695
31 50 722568
32 41 849695
32 42 471596
32 43 366326
33 42 81142
33 43 141282
33 44 254625
34 43 267359
34 44 771872
34 45 820424
35 44 587915
35 45 637748
35 46 734468
36 45 189605
36 46 842210
36 47 955319
37 46 761263
37 47 11858
37 48 169313
38 47 753781
38 48 15458
38 49 373823
39 48 672615
39 49 504312
39 50 230805
40 41 172764
40 49 946584
40 50 133062
41 51 371981
41 52 475530
41 60 784519
42 51 14565
42 52 221675
42 53 947125
43 52 380890
43 53 819168
43 54 88406
44 53 151866
44 54 602878
44 55 376629
45 54 488641
45 55 190793
45 56 14377
46 55 223109
46 56 896749
46 57 372938
47 56 178427
47 57 174363
47 58 901147
48 57 347739
48 58 444495
48 59 432957
49 58 237913
49 59 117109
49 60 937268
50 51 586681
50 59 985070
50 60 63693
51 61 364563
51 62 958661
51 70 674185
52 61 149714
52 62 379127
52 63 696687
53 62 96838
53 63 276368
53 64 515854
54 63 701595
54 64 428234
54 65 118732
55 64 78223
55 65 916874
55 66 825876
56 65 608951
56 66 656334
56 67 238976
57 66 981888
57 67 351113
57 68 413338
58 67 399387
58 68 215203
58 69 857833
59 68 832343
59 69 453116
59 70 974941
60 61 554985
60 69 285962
60 70 954537
61 71 628721
61 72 919547
61 80 388995
62 71 864007
62 72 294786
62 73 815025
63 72 560694
63 73 391623
63 74 91393
64 73 76547
64 74 609569
64 75 35978
65 74 711630
65 75 687791
65 76 469203
66 75 537505
66 76 296742
66 77 125537
67 76 776480
67 77 794981
67 78 993001
68 77 706170
68 78 194367
68 79 208203
69 78 564002
69 79 543061
69 80 177670
70 71 132206
70 79 55294
70 80 345375
71 81 734369
71 82 760926
71 90 126631
72 81 46177
72 82 598375
72 83 55711
73 82 377554
73 83 159068
73 84 963685
74 83 985298
74 84 751967
74 85 573253
75 84 21275
75 85 979948
75 86 777396
76 85 6829
76 86 517453
76 87 590489
77 86 132365
77 87 810284
77 88 385469
78 87 125365
78 88 516453
78 89 96188
79 88 849920
79 89 80454
79 90 155600
80 81 500974
80 89 27589
80 90 652100
81 91 778730
81 92 751694
81 100 159795
82 91 437072
82 92 341258
82 93 350069
83 92 9135
83 93 718811
83 94 25488
84 93 489171
84 94 220460
84 95 293806
85 94 578776
85 95 241734
85 96 273754
86 95 356171
86 96 248563
86 97 791206
87 96 946659
87 97 897279
87 98 117841
88 97 848479
88 98 538996
88 99 634294
89 98 461018
89 99 388915
89 100 231099
90 91 399550
90 99 132970
90 100 416503
91 101 3000000
92 101 3000000
93 101 3000000
94 101 3000000
95 101 3000000
96 101 3000000
97 101 3000000
98 101 3000000
99 101 3000000
100 101 3000000
